Region,Elasticity of Substitution Between Land and Other Factors
FL,0.6
CA,0.63
UT,0.75
NY,0.76
LA,0.81
IL,0.81
NC,0.82
VA,0.82
MA,0.86
NH,0.86
WA,0.88
CT,0.98
OH,1.02
WI,1.03
NJ,1.16
SC,1.2
PA,1.2
MD,1.23
MI,1.24
NV,1.39
AZ,1.39
TN,1.42
MN,1.45
CO,1.53
DC,1.61
RI,1.61
OR,1.65
IN,1.74
ME,1.9
SD,1.9035
VT,1.9035
AK,1.9035
WY,1.9035
ID,1.9035
ND,1.9035
MT,1.9035
WV,1.9035
HI,1.9035
DE,1.99
AL,2.04
NM,2.11
TX,2.18
KY,2.34
MO,2.36
GA,2.55
AR,2.59
MS,2.59
KS,3.19
OK,3.29
IA,3.47
NE,3.47
