file, prop_skl_s, region, industry,value
"results_0.05_migration","0.05","n","con",1
"results_0.05_migration","0.05","n","hou",1
"results_0.05_migration","0.05","s","con",1
"results_0.05_migration","0.05","s","hou",1
"results_0.10_migration","0.10","n","con",1.03154038179138
"results_0.10_migration","0.10","n","hou",1.06347132135888
"results_0.10_migration","0.10","s","con",0.966574562436262
"results_0.10_migration","0.10","s","hou",0.93360521748486
"results_0.15_migration","0.15","n","con",1.06432683925594
"results_0.15_migration","0.15","n","hou",1.13024783546724
"results_0.15_migration","0.15","s","con",0.934640421110851
"results_0.15_migration","0.15","s","hou",0.871059996022562
"results_0.20_migration","0.20","n","con",1.09837195765068
"results_0.20_migration","0.20","n","hou",1.2004015244555
"results_0.20_migration","0.20","s","con",0.90418238006677
"results_0.20_migration","0.20","s","hou",0.812264401167153
"results_0.25_migration","0.25","n","con",1.13368859350651
"results_0.25_migration","0.25","n","hou",1.27400350886526
"results_0.25_migration","0.25","s","con",0.875186211763095
"results_0.25_migration","0.25","s","hou",0.757118091751524
"results_0.30_migration","0.30","n","con",1.17028982495506
"results_0.30_migration","0.30","n","hou",1.35112398945703
"results_0.30_migration","0.30","s","con",0.847638899190581
"results_0.30_migration","0.30","s","hou",0.70552073044881
"results_0.35_migration","0.35","n","con",1.2081889109857
"results_0.35_migration","0.35","n","hou",1.43183220817169
"results_0.35_migration","0.35","s","con",0.821528981813264
"results_0.35_migration","0.35","s","hou",0.657372587897733
"results_0.40_migration","0.40","n","con",1.24739925777918
"results_0.40_migration","0.40","n","hou",1.51619642439523
"results_0.40_migration","0.40","s","con",0.796846984122121
"results_0.40_migration","0.40","s","hou",0.612575285553621
"results_0.45_migration","0.45","n","con",1.28793439069684
"results_0.45_migration","0.45","n","hou",1.60428390343885
"results_0.45_migration","0.45","s","con",0.773585996408109
"results_0.45_migration","0.45","s","hou",0.57103279865863
"results_0.50_migration","0.50","n","con",1.32980793121288
"results_0.50_migration","0.50","n","hou",1.69616091564787
"results_0.50_migration","0.50","s","con",0.751742450073233
"results_0.50_migration","0.50","s","hou",0.532652776766519
"results_0.55_migration","0.55","n","con",1.37303357651297
"results_0.55_migration","0.55","n","hou",1.79189274081547
"results_0.55_migration","0.55","s","con",0.731317185646541
"results_0.55_migration","0.55","s","hou",0.49734833390547
"results_0.60_migration","0.60","n","con",1.41762508353162
"results_0.60_migration","0.60","n","hou",1.89154368193201
"results_0.60_migration","0.60","s","con",0.71231695069724
"results_0.60_migration","0.60","s","hou",0.465040513206386
"results_0.65_migration","0.65","n","con",1.46359625430935
"results_0.65_migration","0.65","n","hou",1.99517708090791
"results_0.65_migration","0.65","s","con",0.694756547338083
"results_0.65_migration","0.65","s","hou",0.435661754335401
"results_0.70_migration","0.70","n","con",1.51096092387783
"results_0.70_migration","0.70","n","hou",2.10285533895801
"results_0.70_migration","0.70","s","con",0.678662075416385
"results_0.70_migration","0.70","s","hou",0.409161046582701
