origin,dest,count
40,0,9.205719214535957e-06
40,2,4.6680637057908494e-06
40,8,1.3990092456527082e-05
40,9,2.959334366791843e-06
40,15,6.422958142997685e-07
40,17,1.4187375467273976e-05
40,23,1.1513732384531671e-05
40,32,2.4597869300713447e-06
40,39,4.7676836042721015e-07
40,42,4.871879165302837e-05
8,0,2.3381418349184534e-05
8,2,1.7712780951170976e-06
8,9,2.5876632741805614e-05
8,15,2.5855100607078214e-07
8,17,1.1637442974034075e-05
8,23,1.426006844543136e-05
8,32,2.8152226319271874e-05
8,39,4.5139125242860305e-06
8,42,5.158570719145114e-05
8,14,1.2808096371331922e-05
8,11,1.792013318258914e-05
8,13,9.91426380429426e-07
8,24,1.361655536370716e-06
8,30,2.921644681049979e-05
8,27,7.791173723872348e-06
8,40,2.1832804554161162e-06
8,43,0.00010142913606393079
48,0,7.007899107974555e-06
48,2,2.8326701896532934e-06
48,8,4.723307703083109e-05
48,9,2.0606947755379005e-06
48,15,1.9270270389998938e-07
48,17,9.623635894960168e-06
48,23,8.083368439614427e-06
48,32,1.786259359126654e-06
48,39,3.28981395869328e-07
48,42,2.8958649708144794e-05
48,24,3.720170102268769e-07
48,27,2.075719389923804e-06
34,0,4.5407713654507266e-06
34,2,1.7944451053192714e-06
34,8,3.477965839340454e-05
34,9,1.333954408109518e-06
34,15,1.1448072723415238e-07
34,17,6.166502174881161e-06
34,23,5.186635516216673e-06
34,32,1.1429918912596753e-06
34,39,2.1457999093679996e-07
34,42,1.8226869815431932e-05
34,24,2.689729497282811e-07
34,27,1.875861132824063e-06
22,0,8.479597098602676e-06
22,2,3.6608624594680372e-06
22,8,5.4886955361198506e-05
22,9,2.653252672141272e-06
22,15,6.074618160380771e-07
22,17,1.2086687914707476e-05
22,23,1.0171515104758496e-05
22,32,2.1634040558485698e-06
22,39,4.0031538649955835e-07
22,42,3.6248605180618986e-05
22,24,9.71773380446733e-07
22,27,2.0952310123789216e-06
21,0,6.308126143033373e-06
21,2,2.581661415068524e-06
21,8,4.261605343552358e-05
21,9,1.8675907053823375e-06
21,15,1.573426893313514e-07
21,17,8.674012691715778e-06
21,23,6.815871838522675e-06
21,32,1.5735149734221956e-06
21,39,2.93744360383292e-07
21,42,2.5199256391610935e-05
21,24,3.0603514443232744e-07
21,27,2.2546658052218398e-06
4,0,2.193433669937039e-08
4,8,0.00038673195303142404
4,17,4.572860518425012e-06
4,23,3.2907912996281645e-06
4,42,1.6359399103764992e-06
14,0,8.432994449363129e-06
14,2,3.6341627440484463e-06
14,8,4.6677992470316766e-05
14,9,2.5669081305903608e-06
14,15,2.2948685147158934e-07
14,17,1.1785988595647632e-05
14,23,9.81276897493397e-06
14,32,2.196400260976478e-06
