file,prop_skl_s, region, labor_type, value
"results_0.05_migration","0.05","n","skl",1.05
"results_0.05_migration","0.05","n","unskl",1.05
"results_0.05_migration","0.05","s","skl",0.95
"results_0.05_migration","0.05","s","unskl",0.95
"results_0.10_migration","0.10","n","skl",1.05659632852139
"results_0.10_migration","0.10","n","unskl",1.13469190532891
"results_0.10_migration","0.10","s","skl",0.940796977560328
"results_0.10_migration","0.10","s","unskl",0.866010262241063
"results_0.15_migration","0.15","n","skl",1.06094762513615
"results_0.15_migration","0.15","n","unskl",1.21974387250333
"results_0.15_migration","0.15","s","skl",0.928577773397627
"results_0.15_migration","0.15","s","unskl",0.783143417172096
"results_0.20_migration","0.20","n","skl",1.06326440953472
"results_0.20_migration","0.20","n","unskl",1.30488770116157
"results_0.20_migration","0.20","s","skl",0.913039998938905
"results_0.20_migration","0.20","s","unskl",0.701834104175535
"results_0.25_migration","0.25","n","skl",1.0637441944269
"results_0.25_migration","0.25","n","unskl",1.38988210321938
"results_0.25_migration","0.25","s","skl",0.893869256529215
"results_0.25_migration","0.25","s","unskl",0.62255262896274
"results_0.30_migration","0.30","n","skl",1.06257139390334
"results_0.30_migration","0.30","n","unskl",1.47451163296114
"results_0.30_migration","0.30","s","skl",0.87074255847446
"results_0.30_migration","0.30","s","unskl",0.545801811567457
"results_0.35_migration","0.35","n","skl",1.05991744628979
"results_0.35_migration","0.35","n","unskl",1.55858538140623
"results_0.35_migration","0.35","s","skl",0.843332827827448
"results_0.35_migration","0.35","s","unskl",0.472112095297666
"results_0.40_migration","0.40","n","skl",1.05594110466429
"results_0.40_migration","0.40","n","unskl",1.64193551186037
"results_0.40_migration","0.40","s","skl",0.811314701170509
"results_0.40_migration","0.40","s","unskl",0.402034435520154
"results_0.45_migration","0.45","n","skl",1.05078885482031
"results_0.45_migration","0.45","n","unskl",1.72441569997892
"results_0.45_migration","0.45","s","skl",0.774371781098966
"results_0.45_migration","0.45","s","unskl",0.336130676656486
"results_0.50_migration","0.50","n","skl",1.04459542638324
"results_0.50_migration","0.50","n","unskl",1.80589953004265
"results_0.50_migration","0.50","s","skl",0.732205540099043
"results_0.50_migration","0.50","s","unskl",0.274960986929568
"results_0.55_migration","0.55","n","skl",1.03748436947166
"results_0.55_migration","0.55","n","unskl",1.88627888579977
"results_0.55_migration","0.55","s","skl",0.684546060124749
"results_0.55_migration","0.55","s","unskl",0.219067984446937
"results_0.60_migration","0.60","n","skl",1.02956867194425
"results_0.60_migration","0.60","n","unskl",1.96546237080391
"results_0.60_migration","0.60","s","skl",0.631164828357502
"results_0.60_migration","0.60","s","unskl",0.168957136125416
"results_0.65_migration","0.65","n","skl",1.02095139974834
"results_0.65_migration","0.65","n","unskl",2.04337377784674
"results_0.65_migration","0.65","s","skl",0.571889871801028
"results_0.65_migration","0.65","s","unskl",0.125072939515173
"results_0.70_migration","0.70","n","skl",1.01172634414786
"results_0.70_migration","0.70","n","unskl",2.11995062686413
"results_0.70_migration","0.70","s","skl",0.506623571994496
"results_0.70_migration","0.70","s","unskl",0.0877704491067183
