origin,dest,count
0,3,3.003494002641648e-07
0,5,3.7994329372888005e-06
0,6,4.785635616824935e-06
0,7,1.2785098218932514e-06
0,14,1.945895966842331e-06
0,11,8.298690069273056e-06
0,12,2.2593990464248155e-06
0,13,6.479444722802879e-06
0,15,8.319707304710668e-07
0,16,3.827251012583012e-05
0,20,7.564081781365116e-06
0,19,5.814461390980455e-06
0,18,1.7011359114173472e-06
0,21,9.855384254024522e-06
0,22,4.312895616945614e-06
0,24,3.3068997634057734e-06
0,25,8.328147758421402e-07
0,33,3.787010834304751e-07
0,26,1.0694951466197792e-06
0,29,1.1419988394391253e-06
0,30,9.901039236838559e-07
0,27,2.56633001088072e-07
0,31,1.1511760671123812e-05
0,34,9.273232799552341e-06
0,36,1.5283001333636103e-06
0,37,9.327876905004514e-06
0,38,9.475948003116165e-07
0,40,1.3195056950212773e-06
0,43,6.56349421942893e-06
0,45,7.3843224682947644e-06
0,46,1.3963032418701226e-05
0,48,5.9088819732920375e-06
42,3,3.874611831485973e-06
42,5,3.523276354410997e-06
42,6,3.8786037528876826e-06
42,7,1.2519321948096116e-06
42,14,1.8117122850302998e-06
42,11,6.000198909585612e-06
42,12,2.3329321818727128e-06
42,13,6.263979294405185e-06
42,15,1.0648978794244541e-06
42,16,1.4972911795635063e-05
42,20,7.638370512723028e-06
42,19,6.236917748185783e-06
42,18,1.4108070797679026e-06
42,21,8.989626038493282e-06
42,22,4.002219399029335e-06
42,24,3.9852856561715465e-06
42,25,7.268763409955873e-07
42,33,3.6074382237591733e-07
42,26,1.0691432238674929e-06
42,29,1.5825357327840917e-06
42,30,9.073461797137326e-07
42,27,3.937176909276614e-07
42,31,1.2487815986095798e-05
42,34,8.911766438839207e-06
42,36,1.6186004411688218e-06
42,37,1.0442035515921629e-05
42,38,9.691566107973658e-07
42,40,1.3384236756243175e-06
42,43,5.110843565096149e-06
42,45,1.2815579622285202e-05
42,46,1.1544496556736523e-05
42,48,5.288232798337367e-06
32,3,4.849120601796638e-07
32,5,2.744253844778085e-06
32,6,3.4498871004988037e-06
32,7,2.7942087655576223e-06
32,14,1.5130703729583655e-06
32,11,5.499510582248241e-06
32,12,1.6379574515334175e-06
32,13,4.79250124189455e-06
32,15,6.119612894990827e-07
32,16,1.0576053005369913e-05
32,20,5.570345098917598e-06
32,19,1.329501459912169e-05
32,18,1.169937578344113e-06
32,21,7.0735973906029566e-06
32,22,3.048722084547087e-06
32,24,2.570474448841372e-06
32,25,5.194858819165118e-07
32,33,2.6296181033886095e-07
32,26,7.923740508678521e-07
32,29,9.700436970210674e-07
32,30,7.362584383167753e-07
32,27,2.2398897710318545e-07
32,31,8.800506759255438e-06
32,34,6.89543893573541e-06
32,36,1.2052567074750829e-06
32,37,7.274791962643969e-06
32,38,6.92843371095874e-07
32,40,9.883732841239815e-07
32,43,4.3912844089104376e-06
32,45,2.0640841301196655e-05
32,46,1.0077252563203035e-05
32,48,4.279363852284885e-06
45,3,3.486598528888901e-08
45,5,5.656408611184809e-06
45,6,7.331403160714794e-06
45,7,5.176436401290962e-06
45,14,3.1872248779762018e-06
45,11,1.2756714619700705e-05
45,12,3.259294493814077e-06
45,13,9.680631557572787e-06
45,15,1.0695529433956135e-06
45,16,1.8169837296769307e-05
45,20,1.0844885403063581e-05
45,19,2.347073062336916e-05
45,18,2.513460008574076e-06
45,21,1.4976825291472437e-05
45,22,6.327481294675263e-06
45,24,4.637006915973857e-06
45,25,1.2188211870697485e-06
45,33,5.617787353066454e-07
45,26,1.5850315422227393e-06
45,29,1.5805685148487345e-06
45,30,1.4859116234112656e-06
45,27,3.3279468284065817e-07
45,31,1.675634249519211e-05
45,34,1.4138203514918982e-05
45,36,2.264602646026393e-06
45,37,1.3588766303602156e-05
45,38,1.3605372169463766e-06
45,40,1.973932323199519e-06
45,43,9.961474608693212e-06
45,45,2.4125847595051976e-05
45,46,2.1700813454883994e-05
45,48,9.208946003042176e-06
4,3,8.196195436332541e-08
4,5,7.249978163729742e-07
4,6,2.56713637557367e-07
4,7,4.859718262817353e-08
4,14,4.341775228818481e-07
4,11,1.1791594199811046e-06
4,12,3.8339564617960316e-07
4,13,8.304559741395909e-07
4,15,1.8188631999888246e-07
4,16,8.559407032405677e-07
4,20,4.6990288145527906e-07
4,19,2.467166359890563e-07
4,18,1.0613986445971108e-07
4,21,1.0432825902428047e-06
