origin,dest,count
7,2,0.0006021283841889469
7,8,0.01798341464182312
7,14,9.1909609612805e-05
7,12,3.588561504240844e-05
7,15,2.4209351617979777e-05
7,17,0.00042598346405135025
7,22,0.000309593636881332
7,23,0.00019027841111002872
7,33,4.074814672314363e-05
7,26,4.3428200770837386e-05
7,27,0.0002060412672536235
7,40,9.466717591893088e-05
7,42,0.0021205170652414057
7,43,4.070669940103303e-06
7,48,8.347723262673694e-05
34,2,0.0004947638985436148
34,8,0.001425835775222841
34,14,0.00012676795731159947
34,12,0.00023871245711922813
34,15,5.350245375766502e-05
34,17,0.00011181451288154034
34,22,0.0004067466548589791
34,23,5.327184689779792e-05
34,33,5.77569528649133e-05
34,26,6.612048118477627e-05
34,27,0.00014569032084443514
34,40,0.00013222868737353046
34,42,0.000767502206022741
34,43,1.5114486898009034e-05
34,48,0.0005966061634658475
40,2,0.0007240826003518736
40,8,0.002280400421886284
40,14,0.004218924337608249
40,17,0.00011486722087443411
40,22,0.0012132650132551431
40,23,2.81725282115344e-05
40,33,0.00021030723119195126
40,26,5.288502228219077e-05
40,27,0.0001435881105703558
40,40,0.0004567279024673392
40,42,0.0008953432096282488
13,2,0.0005896817715870682
13,8,0.0024768012898258376
13,14,6.520206540016532e-05
13,12,6.131285306483153e-05
13,15,4.7888430336412344e-05
13,17,0.00022979646459932873
13,22,0.00014801364757567674
13,23,0.00012383593044651973
13,33,1.6564515827282505e-05
13,26,3.9592560027611744e-05
13,27,0.00022752505031899885
13,40,4.956019081929685e-05
13,42,0.0011950388151022297
13,43,2.8599833879762446e-05
13,48,0.00010036256890547739
43,2,0.008584712359097756
43,8,0.0042874185204264635
43,14,0.00012087426517855228
43,12,3.663862294838962e-05
43,15,2.6422240799256706e-05
43,17,0.00027970499287917127
43,22,0.000482806930747108
43,23,0.00010315516559920687
43,33,7.638916911535871e-05
43,26,5.496984985756088e-05
43,27,0.0020334984495634814
43,40,0.00018177158719158643
43,42,0.002004168500746
43,48,0.00013097302137210203
8,2,0.0011086424160790802
8,8,0.004797442968203599
8,14,0.00011875255814092877
